"SiteID","Pct_Windows_Facing_North","Pct_Windows_Facing_NorthEast","Pct_Windows_Facing_East","Pct_Windows_Facing_SouthEast","Pct_Windows_Facing_South","Pct_Windows_Facing_SouthWest","Pct_Windows_Facing_West","Pct_Windows_Facing_NorthWest","Pct_Windows_Facing_Unknown"
"SITE_1547","8.3%","0.0%","33.3%","0.0%","33.3%","0.0%","25.0%","0.0%","0.0%"
"SITE_1548","5.3%","0.0%","36.8%","0.0%","15.8%","0.0%","42.1%","0.0%","0.0%"
"SITE_1549","50.0%","0.0%","0.0%","0.0%","41.7%","0.0%","8.3%","0.0%","0.0%"
"SITE_155","14.3%","0.0%","21.4%","0.0%","28.6%","0.0%","35.7%","0.0%","0.0%"
"SITE_1550","28.6%","0.0%","28.6%","0.0%","14.3%","0.0%","28.6%","0.0%","0.0%"
"SITE_1551","11.1%","11.1%","0.0%","66.7%","0.0%","11.1%","0.0%","0.0%","0.0%"
"SITE_1552","16.7%","0.0%","33.3%","0.0%","16.7%","0.0%","33.3%","0.0%","0.0%"
"SITE_1553","0.0%","33.3%","16.7%","0.0%","0.0%","27.8%","0.0%","16.7%","5.6%"
"SITE_1554","0.0%","20.0%","0.0%","30.0%","0.0%","10.0%","0.0%","40.0%","0.0%"
"SITE_1555","0.0%","0.0%","37.5%","0.0%","31.2%","0.0%","31.2%","0.0%","0.0%"
"SITE_1556","37.5%","0.0%","25.0%","0.0%","37.5%","0.0%","0.0%","0.0%","0.0%"
"SITE_1557","60.0%","0.0%","0.0%","0.0%","40.0%","0.0%","0.0%","0.0%","0.0%"
"SITE_1558","55.6%","0.0%","0.0%","0.0%","44.4%","0.0%","0.0%","0.0%","0.0%"
"SITE_1559","0.0%","20.0%","0.0%","33.3%","0.0%","26.7%","0.0%","20.0%","0.0%"
"SITE_156","28.6%","0.0%","42.9%","0.0%","28.6%","0.0%","0.0%","0.0%","0.0%"
"SITE_1560","0.0%","11.1%","0.0%","38.9%","0.0%","11.1%","0.0%","38.9%","0.0%"
"SITE_1561","31.0%","0.0%","24.1%","0.0%","20.7%","0.0%","24.1%","0.0%","0.0%"
"SITE_1562","36.4%","0.0%","27.3%","0.0%","9.1%","0.0%","27.3%","0.0%","0.0%"
"SITE_1563","22.7%","0.0%","40.9%","0.0%","18.2%","0.0%","18.2%","0.0%","0.0%"
"SITE_1564","9.1%","0.0%","36.4%","0.0%","18.2%","0.0%","36.4%","0.0%","0.0%"
"SITE_1565","24.0%","0.0%","8.0%","0.0%","36.0%","0.0%","24.0%","8.0%","0.0%"
"SITE_1566","33.3%","0.0%","22.2%","0.0%","22.2%","0.0%","22.2%","0.0%","0.0%"
"SITE_1567","0.0%","0.0%","50.0%","0.0%","0.0%","0.0%","50.0%","0.0%","0.0%"
"SITE_1568","42.9%","0.0%","28.6%","0.0%","28.6%","0.0%","0.0%","0.0%","0.0%"
"SITE_157","28.6%","0.0%","14.3%","0.0%","28.6%","0.0%","28.6%","0.0%","0.0%"
"SITE_1571","0.0%","30.0%","0.0%","40.0%","0.0%","0.0%","0.0%","30.0%","0.0%"
"SITE_1572","7.7%","0.0%","46.2%","0.0%","23.1%","0.0%","23.1%","0.0%","0.0%"
"SITE_1573","23.5%","0.0%","17.6%","0.0%","47.1%","0.0%","11.8%","0.0%","0.0%"
"SITE_1574","27.3%","0.0%","27.3%","0.0%","18.2%","0.0%","27.3%","0.0%","0.0%"
"SITE_1575","57.1%","0.0%","0.0%","0.0%","42.9%","0.0%","0.0%","0.0%","0.0%"
"SITE_1576","33.3%","0.0%","33.3%","0.0%","11.1%","0.0%","22.2%","0.0%","0.0%"
"SITE_1577","28.6%","0.0%","14.3%","0.0%","50.0%","0.0%","7.1%","0.0%","0.0%"
"SITE_1578","0.0%","40.0%","0.0%","26.7%","0.0%","26.7%","0.0%","6.7%","0.0%"
"SITE_1579","10.0%","0.0%","30.0%","0.0%","20.0%","10.0%","20.0%","10.0%","0.0%"
"SITE_158","23.1%","0.0%","23.1%","0.0%","30.8%","0.0%","23.1%","0.0%","0.0%"
"SITE_1580","16.7%","0.0%","27.8%","0.0%","11.1%","5.6%","38.9%","0.0%","0.0%"
"SITE_1581","46.2%","0.0%","7.7%","0.0%","30.8%","0.0%","15.4%","0.0%","0.0%"
"SITE_1582","12.5%","0.0%","25.0%","0.0%","37.5%","0.0%","25.0%","0.0%","0.0%"
"SITE_1583","22.2%","0.0%","11.1%","0.0%","44.4%","0.0%","22.2%","0.0%","0.0%"
"SITE_1584","26.7%","0.0%","40.0%","0.0%","26.7%","0.0%","6.7%","0.0%","0.0%"
"SITE_1585","12.5%","0.0%","25.0%","0.0%","25.0%","0.0%","37.5%","0.0%","0.0%"
"SITE_1586","42.9%","0.0%","0.0%","0.0%","57.1%","0.0%","0.0%","0.0%","0.0%"
"SITE_1587","25.0%","0.0%","0.0%","0.0%","75.0%","0.0%","0.0%","0.0%","0.0%"
"SITE_1588","0.0%","0.0%","44.4%","0.0%","0.0%","0.0%","55.6%","0.0%","0.0%"
"SITE_1589","0.0%","0.0%","44.4%","0.0%","11.1%","0.0%","33.3%","0.0%","11.1%"
"SITE_159","37.5%","0.0%","12.5%","0.0%","12.5%","0.0%","37.5%","0.0%","0.0%"
"SITE_1590","15.4%","0.0%","15.4%","0.0%","7.7%","0.0%","61.5%","0.0%","0.0%"
"SITE_1592","33.3%","0.0%","22.2%","0.0%","22.2%","0.0%","22.2%","0.0%","0.0%"
"SITE_1593","33.3%","0.0%","33.3%","0.0%","16.7%","0.0%","16.7%","0.0%","0.0%"
"SITE_1594","35.0%","5.0%","10.0%","5.0%","30.0%","5.0%","10.0%","0.0%","0.0%"
"SITE_1595","0.0%","0.0%","36.4%","0.0%","0.0%","0.0%","63.6%","0.0%","0.0%"
"SITE_1596","0.0%","0.0%","50.0%","0.0%","0.0%","0.0%","50.0%","0.0%","0.0%"
"SITE_1597","18.2%","0.0%","27.3%","0.0%","27.3%","0.0%","27.3%","0.0%","0.0%"
"SITE_1598","0.0%","0.0%","31.2%","0.0%","43.8%","0.0%","25.0%","0.0%","0.0%"
"SITE_1599","21.4%","0.0%","28.6%","0.0%","21.4%","0.0%","28.6%","0.0%","0.0%"
"SITE_16","25.0%","0.0%","33.3%","0.0%","25.0%","0.0%","16.7%","0.0%","0.0%"
"SITE_160","31.8%","0.0%","31.8%","0.0%","9.1%","0.0%","27.3%","0.0%","0.0%"
"SITE_1600","40.0%","0.0%","6.7%","0.0%","26.7%","0.0%","26.7%","0.0%","0.0%"
"SITE_1601","0.0%","0.0%","57.1%","0.0%","0.0%","0.0%","42.9%","0.0%","0.0%"
"SITE_1602","20.0%","0.0%","10.0%","0.0%","40.0%","0.0%","30.0%","0.0%","0.0%"
"SITE_1603","0.0%","0.0%","33.3%","0.0%","11.1%","0.0%","55.6%","0.0%","0.0%"
"SITE_1604","42.9%","0.0%","7.1%","0.0%","21.4%","0.0%","28.6%","0.0%","0.0%"
"SITE_1605","42.9%","0.0%","14.3%","0.0%","28.6%","0.0%","14.3%","0.0%","0.0%"
"SITE_1606","11.8%","0.0%","35.3%","0.0%","23.5%","0.0%","29.4%","0.0%","0.0%"
"SITE_1607","11.1%","0.0%","55.6%","0.0%","22.2%","0.0%","11.1%","0.0%","0.0%"
"SITE_1608","14.3%","0.0%","0.0%","0.0%","57.1%","0.0%","28.6%","0.0%","0.0%"
"SITE_1609","25.0%","0.0%","25.0%","0.0%","12.5%","0.0%","37.5%","0.0%","0.0%"
"SITE_161","20.0%","0.0%","20.0%","0.0%","30.0%","0.0%","30.0%","0.0%","0.0%"
"SITE_1610","0.0%","0.0%","16.7%","0.0%","66.7%","0.0%","16.7%","0.0%","0.0%"
"SITE_1611","30.8%","0.0%","15.4%","0.0%","46.2%","0.0%","7.7%","0.0%","0.0%"
"SITE_1612","33.3%","0.0%","16.7%","0.0%","41.7%","0.0%","8.3%","0.0%","0.0%"
"SITE_1613","18.2%","0.0%","22.7%","0.0%","18.2%","4.5%","27.3%","4.5%","4.5%"
"SITE_1614","36.4%","0.0%","36.4%","0.0%","27.3%","0.0%","0.0%","0.0%","0.0%"
"SITE_1615","33.3%","0.0%","11.1%","0.0%","22.2%","0.0%","33.3%","0.0%","0.0%"
"SITE_1616","45.5%","0.0%","18.2%","0.0%","27.3%","0.0%","9.1%","0.0%","0.0%"
"SITE_1617","33.3%","0.0%","8.3%","0.0%","25.0%","0.0%","33.3%","0.0%","0.0%"
"SITE_1618","35.7%","0.0%","28.6%","0.0%","21.4%","0.0%","14.3%","0.0%","0.0%"
"SITE_1619","28.6%","0.0%","28.6%","0.0%","42.9%","0.0%","0.0%","0.0%","0.0%"
"SITE_162","0.0%","54.5%","0.0%","9.1%","0.0%","18.2%","0.0%","18.2%","0.0%"
"SITE_1620","50.0%","0.0%","7.1%","0.0%","35.7%","0.0%","7.1%","0.0%","0.0%"
"SITE_1621","28.6%","0.0%","28.6%","0.0%","0.0%","0.0%","42.9%","0.0%","0.0%"
"SITE_1622","27.3%","0.0%","27.3%","0.0%","45.5%","0.0%","0.0%","0.0%","0.0%"
"SITE_1623","28.6%","0.0%","28.6%","0.0%","14.3%","0.0%","28.6%","0.0%","0.0%"
"SITE_1624","20.0%","0.0%","20.0%","0.0%","30.0%","0.0%","30.0%","0.0%","0.0%"
"SITE_1625","36.8%","0.0%","21.1%","0.0%","26.3%","0.0%","15.8%","0.0%","0.0%"
"SITE_1627","24.0%","0.0%","24.0%","0.0%","32.0%","0.0%","20.0%","0.0%","0.0%"
"SITE_1628","42.9%","0.0%","14.3%","0.0%","42.9%","0.0%","0.0%","0.0%","0.0%"
"SITE_1629","31.2%","0.0%","43.8%","0.0%","0.0%","0.0%","25.0%","0.0%","0.0%"
"SITE_163","33.3%","0.0%","22.2%","0.0%","22.2%","0.0%","22.2%","0.0%","0.0%"
"SITE_1630","0.0%","0.0%","50.0%","0.0%","0.0%","0.0%","50.0%","0.0%","0.0%"
"SITE_1631","17.2%","0.0%","41.4%","0.0%","0.0%","0.0%","37.9%","0.0%","3.4%"
"SITE_1632","33.3%","0.0%","25.0%","0.0%","16.7%","0.0%","25.0%","0.0%","0.0%"
"SITE_1633","40.0%","0.0%","20.0%","0.0%","40.0%","0.0%","0.0%","0.0%","0.0%"
"SITE_1634","31.2%","0.0%","43.8%","0.0%","12.5%","0.0%","12.5%","0.0%","0.0%"
"SITE_1635","28.6%","0.0%","42.9%","0.0%","0.0%","0.0%","28.6%","0.0%","0.0%"
"SITE_1636","40.0%","0.0%","20.0%","0.0%","20.0%","0.0%","20.0%","0.0%","0.0%"
"SITE_1637","12.8%","0.0%","46.2%","0.0%","23.1%","0.0%","17.9%","0.0%","0.0%"
"SITE_1638","9.1%","0.0%","54.5%","0.0%","0.0%","0.0%","36.4%","0.0%","0.0%"
"SITE_1639","11.1%","0.0%","44.4%","0.0%","0.0%","0.0%","44.4%","0.0%","0.0%"
"SITE_164","16.7%","0.0%","16.7%","0.0%","0.0%","0.0%","66.7%","0.0%","0.0%"
"SITE_1640","0.0%","0.0%","44.4%","0.0%","11.1%","0.0%","44.4%","0.0%","0.0%"
"SITE_1641","20.0%","0.0%","20.0%","6.7%","26.7%","6.7%","20.0%","0.0%","0.0%"
"SITE_1642","28.6%","0.0%","28.6%","0.0%","14.3%","0.0%","28.6%","0.0%","0.0%"
"SITE_1643","6.7%","0.0%","26.7%","0.0%","33.3%","0.0%","33.3%","0.0%","0.0%"
"SITE_1644","43.8%","0.0%","0.0%","0.0%","31.2%","0.0%","18.8%","0.0%","6.2%"
"SITE_1645","0.0%","0.0%","40.0%","0.0%","0.0%","0.0%","60.0%","0.0%","0.0%"
"SITE_1646","20.0%","0.0%","20.0%","0.0%","40.0%","0.0%","20.0%","0.0%","0.0%"
"SITE_1647","22.2%","0.0%","11.1%","0.0%","44.4%","0.0%","22.2%","0.0%","0.0%"
"SITE_165","9.1%","0.0%","18.2%","0.0%","45.5%","0.0%","27.3%","0.0%","0.0%"
"SITE_166","14.3%","42.9%","0.0%","0.0%","0.0%","0.0%","28.6%","14.3%","0.0%"
"SITE_167","37.5%","0.0%","25.0%","0.0%","18.8%","0.0%","18.8%","0.0%","0.0%"
"SITE_168","0.0%","8.3%","41.7%","8.3%","0.0%","0.0%","41.7%","0.0%","0.0%"
"SITE_169","0.0%","0.0%","57.1%","0.0%","0.0%","0.0%","42.9%","0.0%","0.0%"
"SITE_17","11.8%","0.0%","23.5%","0.0%","29.4%","0.0%","35.3%","0.0%","0.0%"
"SITE_170","40.0%","0.0%","13.3%","0.0%","33.3%","0.0%","13.3%","0.0%","0.0%"
"SITE_171","0.0%","0.0%","50.0%","0.0%","0.0%","0.0%","50.0%","0.0%","0.0%"
"SITE_172","11.8%","0.0%","23.5%","0.0%","29.4%","0.0%","35.3%","0.0%","0.0%"
"SITE_1727","30.0%","0.0%","30.0%","0.0%","10.0%","0.0%","30.0%","0.0%","0.0%"
"SITE_1728","37.5%","0.0%","0.0%","0.0%","37.5%","0.0%","25.0%","0.0%","0.0%"
"SITE_173","18.2%","0.0%","27.3%","0.0%","27.3%","0.0%","27.3%","0.0%","0.0%"
"SITE_1730","47.4%","0.0%","5.3%","0.0%","36.8%","0.0%","10.5%","0.0%","0.0%"
"SITE_1731","40.0%","0.0%","40.0%","0.0%","20.0%","0.0%","0.0%","0.0%","0.0%"
"SITE_1732","42.9%","0.0%","14.3%","0.0%","14.3%","0.0%","28.6%","0.0%","0.0%"
"SITE_1733","31.6%","5.3%","21.1%","0.0%","21.1%","0.0%","15.8%","5.3%","0.0%"
"SITE_1734","25.0%","0.0%","0.0%","50.0%","25.0%","0.0%","0.0%","0.0%","0.0%"
"SITE_1735","50.0%","0.0%","8.3%","0.0%","41.7%","0.0%","0.0%","0.0%","0.0%"
"SITE_1736","18.2%","0.0%","9.1%","0.0%","54.5%","0.0%","18.2%","0.0%","0.0%"
"SITE_1737","6.7%","0.0%","33.3%","0.0%","40.0%","0.0%","20.0%","0.0%","0.0%"
"SITE_1738","11.1%","0.0%","33.3%","0.0%","22.2%","0.0%","33.3%","0.0%","0.0%"
"SITE_1739","60.0%","0.0%","10.0%","0.0%","30.0%","0.0%","0.0%","0.0%","0.0%"
"SITE_174","40.0%","0.0%","20.0%","0.0%","20.0%","0.0%","20.0%","0.0%","0.0%"
"SITE_1740","0.0%","0.0%","33.3%","0.0%","0.0%","0.0%","66.7%","0.0%","0.0%"
"SITE_1741","50.0%","0.0%","10.0%","0.0%","20.0%","0.0%","20.0%","0.0%","0.0%"
"SITE_1742","25.0%","0.0%","25.0%","0.0%","0.0%","0.0%","50.0%","0.0%","0.0%"
"SITE_1743","26.7%","0.0%","13.3%","0.0%","46.7%","0.0%","13.3%","0.0%","0.0%"
"SITE_1744","0.0%","0.0%","40.0%","0.0%","20.0%","0.0%","40.0%","0.0%","0.0%"
"SITE_1745","18.2%","0.0%","36.4%","0.0%","9.1%","0.0%","36.4%","0.0%","0.0%"
"SITE_1746","23.5%","0.0%","35.3%","0.0%","0.0%","0.0%","41.2%","0.0%","0.0%"
"SITE_1747","0.0%","0.0%","41.7%","0.0%","8.3%","0.0%","50.0%","0.0%","0.0%"
"SITE_1749","30.0%","0.0%","20.0%","0.0%","30.0%","0.0%","20.0%","0.0%","0.0%"
"SITE_175","42.9%","0.0%","0.0%","0.0%","28.6%","0.0%","28.6%","0.0%","0.0%"
"SITE_1750","8.7%","0.0%","30.4%","0.0%","26.1%","0.0%","34.8%","0.0%","0.0%"
"SITE_1751","31.6%","0.0%","36.8%","0.0%","5.3%","0.0%","26.3%","0.0%","0.0%"
"SITE_1752","0.0%","20.0%","0.0%","0.0%","0.0%","40.0%","0.0%","40.0%","0.0%"
"SITE_1753","6.7%","0.0%","33.3%","0.0%","20.0%","0.0%","40.0%","0.0%","0.0%"
"SITE_1754","29.4%","0.0%","23.5%","0.0%","17.6%","0.0%","29.4%","0.0%","0.0%"
"SITE_1755","33.3%","0.0%","0.0%","0.0%","33.3%","0.0%","26.7%","0.0%","6.7%"
"SITE_1756","28.6%","0.0%","28.6%","0.0%","28.6%","0.0%","14.3%","0.0%","0.0%"
"SITE_1757","18.8%","0.0%","31.2%","0.0%","18.8%","0.0%","31.2%","0.0%","0.0%"
"SITE_1758","21.1%","0.0%","31.6%","0.0%","21.1%","0.0%","21.1%","0.0%","5.3%"
"SITE_1759","33.3%","0.0%","33.3%","0.0%","22.2%","0.0%","11.1%","0.0%","0.0%"
"SITE_176","20.0%","0.0%","25.0%","0.0%","30.0%","0.0%","25.0%","0.0%","0.0%"
"SITE_1760","36.4%","0.0%","0.0%","0.0%","36.4%","0.0%","27.3%","0.0%","0.0%"
"SITE_1761","28.6%","0.0%","0.0%","0.0%","57.1%","0.0%","14.3%","0.0%","0.0%"
"SITE_1762","50.0%","0.0%","16.7%","0.0%","16.7%","0.0%","16.7%","0.0%","0.0%"
"SITE_1763","28.6%","0.0%","14.3%","0.0%","42.9%","0.0%","14.3%","0.0%","0.0%"
"SITE_1764","60.0%","0.0%","0.0%","0.0%","40.0%","0.0%","0.0%","0.0%","0.0%"
"SITE_1765","25.0%","0.0%","25.0%","0.0%","25.0%","0.0%","25.0%","0.0%","0.0%"
"SITE_1766","30.8%","0.0%","38.5%","0.0%","0.0%","0.0%","30.8%","0.0%","0.0%"
"SITE_1767","20.0%","0.0%","0.0%","0.0%","0.0%","0.0%","80.0%","0.0%","0.0%"
"SITE_1768","20.0%","0.0%","26.7%","0.0%","33.3%","0.0%","20.0%","0.0%","0.0%"
"SITE_1769","28.6%","0.0%","14.3%","0.0%","28.6%","0.0%","28.6%","0.0%","0.0%"
"SITE_177","26.7%","0.0%","13.3%","0.0%","40.0%","0.0%","20.0%","0.0%","0.0%"
"SITE_1770","40.0%","0.0%","20.0%","0.0%","20.0%","0.0%","20.0%","0.0%","0.0%"
"SITE_1771","20.0%","0.0%","13.3%","0.0%","20.0%","0.0%","40.0%","0.0%","6.7%"
"SITE_1772","11.1%","0.0%","33.3%","0.0%","33.3%","0.0%","22.2%","0.0%","0.0%"
"SITE_1773","37.5%","0.0%","12.5%","0.0%","37.5%","0.0%","12.5%","0.0%","0.0%"
"SITE_1774","36.4%","0.0%","0.0%","0.0%","27.3%","0.0%","36.4%","0.0%","0.0%"
"SITE_1775","60.0%","0.0%","0.0%","0.0%","40.0%","0.0%","0.0%","0.0%","0.0%"
"SITE_1776","6.7%","0.0%","60.0%","0.0%","0.0%","0.0%","33.3%","0.0%","0.0%"
"SITE_1777","40.0%","0.0%","0.0%","0.0%","40.0%","0.0%","20.0%","0.0%","0.0%"
"SITE_1778","34.6%","0.0%","23.1%","0.0%","34.6%","0.0%","7.7%","0.0%","0.0%"
"SITE_1779","10.0%","0.0%","40.0%","0.0%","20.0%","0.0%","30.0%","0.0%","0.0%"
"SITE_178","25.0%","0.0%","50.0%","0.0%","25.0%","0.0%","0.0%","0.0%","0.0%"
"SITE_1780","22.2%","0.0%","33.3%","0.0%","0.0%","0.0%","44.4%","0.0%","0.0%"
"SITE_1781","53.8%","0.0%","23.1%","0.0%","23.1%","0.0%","0.0%","0.0%","0.0%"
"SITE_1782","12.5%","0.0%","50.0%","0.0%","0.0%","0.0%","37.5%","0.0%","0.0%"
"SITE_1784","35.7%","0.0%","35.7%","0.0%","21.4%","0.0%","7.1%","0.0%","0.0%"
"SITE_1785","9.1%","0.0%","45.5%","0.0%","45.5%","0.0%","0.0%","0.0%","0.0%"
"SITE_1786","0.0%","42.9%","0.0%","0.0%","0.0%","57.1%","0.0%","0.0%","0.0%"
"SITE_1787","0.0%","33.3%","0.0%","33.3%","0.0%","0.0%","0.0%","33.3%","0.0%"
"SITE_1788","0.0%","0.0%","46.7%","0.0%","0.0%","0.0%","53.3%","0.0%","0.0%"
"SITE_1789","0.0%","0.0%","38.5%","0.0%","30.8%","0.0%","30.8%","0.0%","0.0%"
"SITE_179","6.1%","0.0%","33.3%","0.0%","30.3%","0.0%","30.3%","0.0%","0.0%"
"SITE_1791","15.4%","0.0%","46.2%","0.0%","23.1%","0.0%","15.4%","0.0%","0.0%"
"SITE_1792","17.6%","0.0%","17.6%","0.0%","29.4%","0.0%","29.4%","0.0%","5.9%"
"SITE_1793","16.7%","0.0%","33.3%","0.0%","16.7%","0.0%","33.3%","0.0%","0.0%"
"SITE_1794","33.3%","0.0%","11.1%","0.0%","55.6%","0.0%","0.0%","0.0%","0.0%"
"SITE_1795","0.0%","0.0%","0.0%","61.5%","0.0%","30.8%","0.0%","7.7%","0.0%"
"SITE_1796","33.3%","0.0%","20.0%","0.0%","20.0%","0.0%","26.7%","0.0%","0.0%"
"SITE_1797","0.0%","0.0%","28.6%","0.0%","57.1%","0.0%","14.3%","0.0%","0.0%"
"SITE_1798","28.6%","0.0%","14.3%","0.0%","28.6%","0.0%","14.3%","0.0%","14.3%"
"SITE_18","17.4%","0.0%","30.4%","0.0%","26.1%","0.0%","26.1%","0.0%","0.0%"
"SITE_180","16.7%","0.0%","33.3%","0.0%","33.3%","0.0%","16.7%","0.0%","0.0%"
"SITE_1800","11.1%","0.0%","33.3%","0.0%","22.2%","0.0%","33.3%","0.0%","0.0%"
"SITE_1802","0.0%","0.0%","50.0%","8.3%","0.0%","25.0%","16.7%","0.0%","0.0%"
"SITE_1803","20.0%","0.0%","40.0%","0.0%","10.0%","0.0%","30.0%","0.0%","0.0%"
"SITE_1804","0.0%","0.0%","40.0%","0.0%","40.0%","0.0%","20.0%","0.0%","0.0%"
"SITE_1805","25.0%","0.0%","25.0%","0.0%","25.0%","0.0%","25.0%","0.0%","0.0%"
"SITE_1806","33.3%","0.0%","11.1%","0.0%","22.2%","0.0%","33.3%","0.0%","0.0%"
"SITE_1807","0.0%","14.3%","7.1%","21.4%","0.0%","21.4%","0.0%","35.7%","0.0%"
"SITE_1809","46.2%","0.0%","7.7%","0.0%","30.8%","0.0%","15.4%","0.0%","0.0%"
"SITE_181","28.6%","0.0%","42.9%","0.0%","0.0%","0.0%","28.6%","0.0%","0.0%"
"SITE_1810","33.3%","0.0%","19.0%","0.0%","38.1%","0.0%","9.5%","0.0%","0.0%"
"SITE_1811","0.0%","0.0%","50.0%","0.0%","0.0%","0.0%","50.0%","0.0%","0.0%"
"SITE_1812","18.2%","0.0%","36.4%","0.0%","9.1%","0.0%","36.4%","0.0%","0.0%"
"SITE_1813","11.1%","0.0%","33.3%","0.0%","33.3%","0.0%","22.2%","0.0%","0.0%"
"SITE_1814","36.8%","0.0%","15.8%","0.0%","15.8%","0.0%","31.6%","0.0%","0.0%"
"SITE_1815","64.3%","0.0%","21.4%","0.0%","7.1%","0.0%","7.1%","0.0%","0.0%"
"SITE_1816","33.3%","0.0%","50.0%","0.0%","16.7%","0.0%","0.0%","0.0%","0.0%"
"SITE_1817","0.0%","10.0%","0.0%","40.0%","0.0%","10.0%","0.0%","40.0%","0.0%"
"SITE_1818","0.0%","0.0%","71.4%","0.0%","0.0%","0.0%","28.6%","0.0%","0.0%"
"SITE_1819","0.0%","0.0%","44.4%","0.0%","0.0%","0.0%","55.6%","0.0%","0.0%"
"SITE_182","21.4%","0.0%","21.4%","0.0%","21.4%","0.0%","35.7%","0.0%","0.0%"
"SITE_1820","0.0%","0.0%","50.0%","0.0%","12.5%","0.0%","37.5%","0.0%","0.0%"
"SITE_1821","0.0%","13.0%","0.0%","26.1%","0.0%","43.5%","0.0%","17.4%","0.0%"
"SITE_1822","0.0%","29.4%","0.0%","29.4%","0.0%","0.0%","0.0%","41.2%","0.0%"
"SITE_1823","0.0%","0.0%","33.3%","0.0%","33.3%","0.0%","16.7%","16.7%","0.0%"
"SITE_1824","30.0%","0.0%","20.0%","0.0%","40.0%","0.0%","10.0%","0.0%","0.0%"
"SITE_1825","30.0%","0.0%","20.0%","0.0%","10.0%","0.0%","40.0%","0.0%","0.0%"
"SITE_1826","6.2%","6.2%","12.5%","25.0%","18.8%","0.0%","6.2%","25.0%","0.0%"
"SITE_1827","35.7%","0.0%","21.4%","0.0%","42.9%","0.0%","0.0%","0.0%","0.0%"
"SITE_1828","37.5%","0.0%","0.0%","0.0%","50.0%","0.0%","0.0%","0.0%","12.5%"
"SITE_1829","0.0%","0.0%","35.7%","0.0%","21.4%","0.0%","42.9%","0.0%","0.0%"
"SITE_183","16.7%","0.0%","41.7%","0.0%","8.3%","0.0%","33.3%","0.0%","0.0%"
"SITE_1830","37.5%","0.0%","25.0%","0.0%","25.0%","0.0%","12.5%","0.0%","0.0%"
"SITE_1831","0.0%","40.0%","0.0%","10.0%","0.0%","40.0%","0.0%","10.0%","0.0%"
"SITE_1832","19.0%","0.0%","23.8%","0.0%","28.6%","0.0%","28.6%","0.0%","0.0%"
"SITE_1833","33.3%","0.0%","8.3%","4.2%","12.5%","37.5%","4.2%","0.0%","0.0%"
"SITE_1834","18.5%","0.0%","0.0%","0.0%","51.9%","0.0%","29.6%","0.0%","0.0%"
"SITE_1835","21.4%","0.0%","42.9%","0.0%","14.3%","0.0%","21.4%","0.0%","0.0%"
"SITE_1836","27.3%","0.0%","30.3%","0.0%","24.2%","0.0%","18.2%","0.0%","0.0%"
"SITE_1837","0.0%","0.0%","25.0%","0.0%","0.0%","0.0%","75.0%","0.0%","0.0%"
"SITE_1838","20.0%","0.0%","46.7%","0.0%","0.0%","0.0%","33.3%","0.0%","0.0%"
"SITE_1839","23.1%","0.0%","30.8%","0.0%","38.5%","0.0%","0.0%","0.0%","7.7%"
"SITE_1840","0.0%","0.0%","35.3%","5.9%","41.2%","0.0%","17.6%","0.0%","0.0%"
"SITE_1841","40.0%","0.0%","10.0%","0.0%","50.0%","0.0%","0.0%","0.0%","0.0%"
"SITE_1842","0.0%","0.0%","46.2%","0.0%","15.4%","0.0%","38.5%","0.0%","0.0%"
"SITE_1843","20.0%","0.0%","20.0%","0.0%","13.3%","0.0%","46.7%","0.0%","0.0%"
"SITE_1844","13.3%","0.0%","40.0%","0.0%","0.0%","0.0%","46.7%","0.0%","0.0%"
"SITE_1845","25.0%","0.0%","25.0%","0.0%","25.0%","0.0%","25.0%","0.0%","0.0%"
"SITE_1846","7.1%","0.0%","35.7%","0.0%","14.3%","0.0%","42.9%","0.0%","0.0%"
"SITE_1847","33.3%","0.0%","22.2%","0.0%","33.3%","0.0%","11.1%","0.0%","0.0%"
"SITE_1848","63.6%","0.0%","0.0%","0.0%","27.3%","0.0%","9.1%","0.0%","0.0%"
"SITE_1849","57.1%","0.0%","0.0%","0.0%","14.3%","0.0%","28.6%","0.0%","0.0%"
"SITE_185","16.7%","0.0%","33.3%","0.0%","8.3%","0.0%","41.7%","0.0%","0.0%"
"SITE_1850","15.4%","0.0%","30.8%","0.0%","23.1%","0.0%","30.8%","0.0%","0.0%"
"SITE_1851","30.0%","0.0%","25.0%","0.0%","35.0%","0.0%","10.0%","0.0%","0.0%"
"SITE_1852","44.4%","0.0%","22.2%","0.0%","22.2%","0.0%","11.1%","0.0%","0.0%"
"SITE_1853","41.7%","0.0%","8.3%","0.0%","41.7%","0.0%","8.3%","0.0%","0.0%"
"SITE_1854","33.3%","0.0%","33.3%","0.0%","33.3%","0.0%","0.0%","0.0%","0.0%"
"SITE_1855","10.5%","0.0%","21.1%","0.0%","26.3%","0.0%","42.1%","0.0%","0.0%"
"SITE_186","26.7%","0.0%","26.7%","0.0%","20.0%","0.0%","26.7%","0.0%","0.0%"
"SITE_1860","0.0%","0.0%","33.3%","0.0%","33.3%","0.0%","33.3%","0.0%","0.0%"
"SITE_1861","12.5%","0.0%","0.0%","0.0%","50.0%","0.0%","37.5%","0.0%","0.0%"
"SITE_1862","33.3%","0.0%","33.3%","0.0%","16.7%","0.0%","16.7%","0.0%","0.0%"
"SITE_1863","0.0%","0.0%","14.3%","0.0%","28.6%","0.0%","57.1%","0.0%","0.0%"
