Table,Variable,Position,Units,Variable type,Variable Description / Question Text,2017 Table,2017 Variable,2011 Table,2011 Variable
Mechanical_One_Line.csv,City,4,,text,Site City,,,,
Mechanical_One_Line.csv,County,5,,Single Choice selection,County,,,,
Mechanical_One_Line.csv,State,6,,Single Choice selection,State,,,,
Mechanical_One_Line.csv,Zip,7,,text,Zip Code,,,,
Mechanical_One_Line.csv,Region_SF_StrataVar,8,,Single Choice selection,BPA Subregion,,,,
Mechanical_One_Line.csv,Attached_Detached_SF_StrataVar,9,,Single Choice selection,Single-family weighting variable: attached or detached,,,,
Mechanical_One_Line.csv,BPA_SF_StrataVar,10,,Single Choice selection,Single-family weighting variable: BPA electric utility,,,,
Mechanical_One_Line.csv,Sample_SF_StrataVar,11,,Single Choice selection,Single-family weighting variable: Core or Oversample,,,,
Mechanical_One_Line.csv,NWN_SF_StrataVar,12,,Single Choice selection,Single-family weighting variable: Northwest Natural Gas Service,,,,
Mechanical_One_Line.csv,Height_Class_MF_StrataVar,13,,Single Choice selection,Multi-family weighting variable: building height class,,,,
Mechanical_One_Line.csv,Strata_Territory,14,,Single Choice selection,Strata Name,,,,
Mechanical_One_Line.csv,Site_Case_Weight,15,,decimal,Site weight,,,,
Mechanical_One_Line.csv,Strata_Population_Estimate,16,,decimal,Estimate of the strata's population,,,,
Mechanical_One_Line.csv,Electric_Utility,17,,Single Choice selection,Electric Utility,,,,
Mechanical_One_Line.csv,EIA_Electric_Utility_ID,18,,ID,Electric Utility ID,,,,
Mechanical_One_Line.csv,Electric_Utility_BPA,19,,Single Choice selection,BPA utility flag,,,,
Mechanical_One_Line.csv,Gas_Utility,20,,Single Choice selection,Gas Utility,,,,
Mechanical_One_Line.csv,Conditioned_Area,21,Sq ft,decimal,Conditioned Area of home,,,,
Mechanical_One_Line.csv,Conditioned_Volume,22,Cu ft,decimal,Home volume,,,,
Mechanical_One_Line.csv,Qty_Rooms,23,,integer,Number of rooms,,,,
Mechanical_One_Line.csv,Qty_Bedrooms,24,,integer,Number of bedrooms,,,,
Mechanical_One_Line.csv,Qty_Bathrooms,25,,decimal,Number of bathrooms,,,,
Mechanical_One_Line.csv,Cooling_Zone,26,,integer,Cooling Zone (based on RTF cooling zone assignments),,,,
Mechanical_One_Line.csv,Heating_Zone,27,,integer,Heating Zone (based on RTF heating zone assignments),,,,
Mechanical_One_Line.csv,Home_Vintage,28,,integer,Home vintage,,,,
Mechanical_One_Line.csv,Ownership,29,,Single Choice selection,Do You Rent or Own this home?,,,,
Mechanical_One_Line.csv,Qty_Occupants,30,,integer,Number of occupants,,,,
Mechanical_One_Line.csv,Primary_Heating_System_Type,31,,Single Choice selection,Primary Heating System Type (based on the prescribed approach),,,,
Mechanical_One_Line.csv,Primary_Heating_Fuel_Type,32,,Single Choice selection,Primary Heating System Fuel Type (based on the prescribed approach),,,,
Mechanical_One_Line.csv,Primary_Cooling_System_Type,33,,Single Choice selection,Primary Cooling System Type (based on the prescribed approach),,,,
Mechanical_One_Line.csv,Central_Air_Source_Heat_Pump_Qty,34,,integer,Count of ____,,,,
Mechanical_One_Line.csv,Geothermal_Heat_Pump_Qty,35,,integer,Count of ____,,,,
Mechanical_One_Line.csv,Water_Source_Heat_Pump_Qty,36,,integer,Count of ____,,,,
Mechanical_One_Line.csv,Furnace-Natural_gas_Qty,37,,integer,Count of ____,,,,
Mechanical_One_Line.csv,Furnace-Electric_Qty,38,,integer,Count of ____,,,,
Mechanical_One_Line.csv,Furnace-Oil_Qty,39,,integer,Count of ____,,,,
Mechanical_One_Line.csv,Furnace-Propane_Qty,40,,integer,Count of ____,,,,
Mechanical_One_Line.csv,Furnace-Other_Qty,41,,integer,Count of ____,,,,
Mechanical_One_Line.csv,Furnace-Unknown_Qty,42,,integer,Count of ____,,,,
Mechanical_One_Line.csv,Boiler-Natural_gas_Qty,43,,integer,Count of ____,,,,
Mechanical_One_Line.csv,Boiler-Electric_Qty,44,,integer,Count of ____,,,,
Mechanical_One_Line.csv,Boiler-Oil_Qty,45,,integer,Count of ____,,,,
Mechanical_One_Line.csv,Boiler-Propane_Qty,46,,integer,Count of ____,,,,
Mechanical_One_Line.csv,Boiler-Other_Qty,47,,integer,Count of ____,,,,
Mechanical_One_Line.csv,Boiler-Unknown_Qty,48,,integer,Count of ____,,,,
Mechanical_One_Line.csv,Ductless_Mini-split_Heat_Pump_(outdoor)_Qty,49,,integer,Count of ____,,,,
Mechanical_One_Line.csv,Ductless_Mini-split_Heat_Pump_(indoor)_Qty,50,,integer,Count of ____,,,,
Mechanical_One_Line.csv,"PTHP_""Packaged_Terminal_Heat_Pump""_Qty",51,,integer,Count of ____,,,,
Mechanical_One_Line.csv,"PTAC_""Packaged_Terminal_Air_Conditioner""_Qty",52,,integer,Count of ____,,,,
Mechanical_One_Line.csv,Through-wall_Heat_Pump_Qty,53,,integer,Count of ____,,,,
Mechanical_One_Line.csv,Window_Heat_Pump_Qty,54,,integer,Count of ____,,,,
Mechanical_One_Line.csv,Radiant_Heating_Qty,55,,integer,Count of ____,,,,
Mechanical_One_Line.csv,Unit_Heater-Natural_gas_Qty,56,,integer,Count of ____,,,,
Mechanical_One_Line.csv,Unit_Heater-Electric_Qty,57,,integer,Count of ____,,,,
Mechanical_One_Line.csv,Unit_Heater-Oil_Qty,58,,integer,Count of ____,,,,
Mechanical_One_Line.csv,Unit_Heater-Propane_Qty,59,,integer,Count of ____,,,,
Mechanical_One_Line.csv,Unit_Heater-Other_Qty,60,,integer,Count of ____,,,,
Mechanical_One_Line.csv,Unit_Heater-Unknown_Qty,61,,integer,Count of ____,,,,
Mechanical_One_Line.csv,Wall_Heater-Natural_gas_Qty,62,,integer,Count of ____,,,,
Mechanical_One_Line.csv,Wall_Heater-Electric_Qty,63,,integer,Count of ____,,,,
Mechanical_One_Line.csv,Wall_Heater-Unknown_Qty,64,,integer,Count of ____,,,,
Mechanical_One_Line.csv,Baseboard_Qty,65,,integer,Count of ____,,,,
Mechanical_One_Line.csv,Portable_Heat_Pump_Qty,66,,integer,Count of ____,,,,
Mechanical_One_Line.csv,Fireplace_or_Stove_Qty,67,,integer,Count of ____,,,,
Mechanical_One_Line.csv,Portable_Heater_Qty,68,,integer,Count of ____,,,,
Mechanical_One_Line.csv,Central_AC_Qty,69,,integer,Count of ____,,,,
Mechanical_One_Line.csv,Ductless_Mini-split_AC_(outdoor)_Qty,70,,integer,Count of ____,,,,
Mechanical_One_Line.csv,Ductless_Mini-split_AC_(indoor)_Qty,71,,integer,Count of ____,,,,
Mechanical_One_Line.csv,Evaporative_Cooler_Qty,72,,integer,Count of ____,,,,
Mechanical_One_Line.csv,Through-wall_AC_Qty,73,,integer,Count of ____,,,,
Mechanical_One_Line.csv,Window_AC_Qty,74,,integer,Count of ____,,,,
Mechanical_One_Line.csv,Portable_AC_Qty,75,,integer,Count of ____,,,,
Mechanical_One_Line.csv,Storage_Electric_Heat_Pump_(Packaged)_Water_Heater_Qty,76,,integer,Count of ____,,,,
Mechanical_One_Line.csv,Storage_Electric_Heat_Pump_(Split_System)_Water_Heater_Qty,77,,integer,Count of ____,,,,
Mechanical_One_Line.csv,Storage_Electric_Resistance_Water_Heater_Qty,78,,integer,Count of ____,,,,
Mechanical_One_Line.csv,Storage_Fossil_Fuel_Condensing_Water_Heater_Qty,79,,integer,Count of ____,,,,
Mechanical_One_Line.csv,Storage_Fossil_Fuel_Non-Condensing_Water_Heater_Qty,80,,integer,Count of ____,,,,
Mechanical_One_Line.csv,Storage_Indirect_Water_Heater_Water_Heater_Qty,81,,integer,Count of ____,,,,
Mechanical_One_Line.csv,Storage_Unknown_Water_Heater_Qty,82,,integer,Count of ____,,,,
Mechanical_One_Line.csv,Instantaneous_Electric_Resistance_Water_Heater_Qty,83,,integer,Count of ____,,,,
Mechanical_One_Line.csv,Instantaneous_Fossil_Fuel_Condensing_Water_Heater_Qty,84,,integer,Count of ____,,,,
Mechanical_One_Line.csv,Instantaneous_Fossil_Fuel_Non-Condensing_Water_Heater_Qty,85,,integer,Count of ____,,,,
Mechanical_One_Line.csv,Instantaneous_Unknown_Water_Heater_Qty,86,,integer,Count of ____,,,,
Mechanical_WaterHeater.csv,CK_SiteID,1,,ID,Site ID,Mechanical_WaterHeater.csv,CK_SiteID,SFwheater,siteid
Mechanical_WaterHeater.csv,PK_Mechanical_ID,2,,ID,Mechanical ID,Mechanical_WaterHeater.csv,PK_Mechanical_ID,Sfwheater,waterheater_it
Mechanical_WaterHeater.csv,Technology_Description,3,,Single Choice selection,Technology Type,Mechanical_WaterHeater.csv,Technology,SFwheater,WaterheaterEquipment; WaterheaterType; WHHeatPump
Mechanical_WaterHeater.csv,Storage_Tankless,4,,Single Choice selection,System Type,Mechanical_WaterHeater.csv,System Type,SFwheater,WaterheaterType
Mechanical_WaterHeater.csv,Fuel_Type,5,,Single Choice selection,Fuel,Mechanical_WaterHeater.csv,Fuel Type,SFwheater,WHFuel
Mechanical_WaterHeater.csv,Make,6,,Single Choice selection,Make,Mechanical_WaterHeater.csv,Make,SFwheater,WHBrand
Mechanical_WaterHeater.csv,Make_Other,7,,long_text,Other SPECIFY:,,,,
Mechanical_WaterHeater.csv,Model,8,,long_text,Model,Mechanical_WaterHeater.csv,wh_model,,
Mechanical_WaterHeater.csv,Water_Heater_Missing_Model_Reason,9,,Single Choice selection,Reason why model number isn’t available?,,,,
Mechanical_WaterHeater.csv,Size,10,Gallons,decimal,Tank size (gallons),Mechanical_WaterHeater.csv,Size (Gallons),SFwheater,WHTankSize
Mechanical_WaterHeater.csv,Size_Is_Estimated,11,,Single Choice selection,Tank size is estimated?,Mechanical_WaterHeater.csv,Size (Gallons)_notes,,
Mechanical_WaterHeater.csv,Year_Manufactured,12,,integer,Year manufactured,Mechanical_WaterHeater.csv,Year Manufactured,SFwheater,WHManYear
Mechanical_WaterHeater.csv,Serial_Number,13,,text,Serial Number,Mechanical_WaterHeater.csv,Serial Number,,
Mechanical_WaterHeater.csv,Wifi_Enabled,14,,Single Choice selection,Wi-fi capable,Mechanical_WaterHeater.csv,Wifi Enabled,,
Mechanical_WaterHeater.csv,Serves_Whole_House,15,,Single Choice selection,Serves whole house?,Mechanical_WaterHeater.csv,Serves Whole House,SFwheater,WHWholeHouse
Mechanical_WaterHeater.csv,Location,16,,Single Choice selection,Water heater location,Mechanical_WaterHeater.csv,Location,,
Mechanical_WaterHeater.csv,Provided_by_Heating_System,17,,Single Choice selection,Hot water provided by heating system?,Mechanical_WaterHeater.csv,Provided by Heating System,,
Mechanical_WaterHeater.csv,Supplemental_Solar_Water_Heating,18,,Single Choice selection,Supplemental water heating using solar water heater?,Mechanical_WaterHeater.csv,Supplemental Solar Water Heating,SFwheater,SolarWaterheating
Mechanical_WaterHeater.csv,Capacity_BTUH,19,Btuh,decimal,Input Capacity (BTUh),Mechanical_WaterHeater.csv,Capacity,SFwheater,WHCapacityBTU
Mechanical_WaterHeater.csv,Capacity_BTUH_Is_Estimated,20,,Single Choice selection,Input Capacity (BTUh) is estimated?,Mechanical_WaterHeater.csv,Capacity_notes,,
Mechanical_WaterHeater.csv,Capacity_kW,21,kW,decimal,Input Capacity (kW),Mechanical_WaterHeater.csv,Capacity Units,SFwheater,WHCapacityKW
Mechanical_WaterHeater.csv,Capacity_kW_Is_Estimated,22,,Single Choice selection,Input Capacity (kW) is estimated?,,,,
Mechanical_WaterHeater.csv,Water_Heater_Efficiency_Type,23,,Single Choice selection,Water Heater Efficiency (Energy Factor Type),,,,
Mechanical_WaterHeater.csv,Water_Heater_Efficiency,24,Units provided in Water_Heater_Efficiency_Type variable,decimal,Water Heater Efficiency Value,Mechanical_WaterHeater.csv,Energy Factor,,
Mechanical_WaterHeater.csv,Water_Heater_MEF,25,,decimal,Modified Energy Factor,,,,
Mechanical_WaterHeater.csv,Tank_Wrap,26,,Single Choice selection,Tank wrap?,Mechanical_WaterHeater.csv,Tank Wrap,SFwheater,WHTankWrap
Mechanical_WaterHeater.csv,Tank_Wrap_Thickness,27,Inches,Single Choice selection,Tank wrap thickness,Mechanical_WaterHeater.csv,Tank Wrap Thickness,,
Mechanical_WaterHeater.csv,Pipe_Wrap,28,,Single Choice selection,Pipe wrap?,Mechanical_WaterHeater.csv,Pipe Wrap,,
Mechanical_WaterHeater.csv,Pipe_Wrap_Type,29,,Single Choice selection,Pipe wrap type,Mechanical_WaterHeater.csv,Pipe Wrap Type,,
Mechanical_WaterHeater.csv,Pipe_Wrap_Type_Other,30,,long_text,Other SPECIFY:,,,,
Mechanical_WaterHeater.csv,Pipe_Wrap_Length,31,Feet,decimal,Pipe wrap length (ft),Mechanical_WaterHeater.csv,Pipe Wrap Length,,
Mechanical_WaterHeater.csv,Pipe_Wrap_Length_Is_Estimated,32,,Single Choice selection,Length is estimated?,Mechanical_WaterHeater.csv,Pipe Wrap Length_notes,,
Mechanical_WaterHeater.csv,Pipe_Wrap_Thickness,33,in.,decimal,Pipe wrap thickness (in),Mechanical_WaterHeater.csv,Pipe Wrap Thickness,,
Mechanical_WaterHeater.csv,Pipe_Wrap_Thickness_Is_Estimated,34,,Single Choice selection,Thickness is estimated?,Mechanical_WaterHeater.csv,Pipe Wrap Thickness_notes,,
Mechanical_WaterHeater.csv,Circulator_Present,35,,Single Choice selection,Are there one or more Household Circulator Pumps present?,,,,
Mechanical_WaterHeater.csv,Space_Is_Conditioned,36,,Single Choice selection,Is water heater location/space conditioned?,Mechanical_WaterHeater.csv,HPWH in Conditioned Space,SFwheater,WHInConditionedSpace
Mechanical_WaterHeater.csv,HPWH_Conditioned_Space_Size,37,Sq ft,decimal,Water heater conditioned space size,Mechanical_WaterHeater.csv,HPWH Conditioned Space Size,,
Mechanical_WaterHeater.csv,Relation_to_Space_Heating_Unit,38,,Single Choice selection,Relation to space heating unit,Mechanical_WaterHeater.csv,HPWH Relation to Space Heating Unit,,
Mechanical_WaterHeater.csv,Air_Supply_From_Inside_House,39,,Single Choice selection,Can it get supply air from inside of house? (Is it within six unobstructed feet of the house / garage wall?),Mechanical_WaterHeater.csv,Can Exhaust to Garage or Get Supply Air from Home Interior,SFwheater,WHSupplyAir
Mechanical_WaterHeater.csv,HPWH_Ducting,40,,Single Choice selection,HPWH Ducting,Mechanical_WaterHeater.csv,HPWH Ducting,,
Mechanical_WaterHeater.csv,Within_4_feet_of_a_drain,41,,Single Choice selection,Is it within 4 feet of a drain?,Mechanical_WaterHeater.csv,Within 4 feet of a drain,SFwheater,WHNearDrain
Mechanical_WaterHeater.csv,Drain_Type,42,,Single Choice selection,Type of drain,Mechanical_WaterHeater.csv,Drain Type,SFwheater,WHDrainType
Mechanical_WaterHeater.csv,Can_Exhaust_to_Garage_or_Get_Supply_Air_from_Home_Interior,43,,Single Choice selection,Could a Heat Pump Water Heater exhaust to the garage? (Is it within six unobstructed feet of the house / garage wall?),Mechanical_WaterHeater.csv,Can Exhaust to Garage or Get Supply Air from Home Interior,SFwheater,WHExhaustToGarage
Mechanical_WaterHeater.csv,"In_A_Room_Greater_Than_1,000_Cubic_Feet",44,,Single Choice selection,"Is the water heater in a room greater than 1,000 cubic feet?",Mechanical_WaterHeater.csv,"In a room greater than 1,000 cubic feet",SFwheater,WHRoomOver1000ft3
Mechanical_WaterHeater.csv,Eight_feet_of_Vertical_Space,45,,Single Choice selection,Is there eight feet of vertical space available for the equipment?,Mechanical_WaterHeater.csv,Eight feet of Vertical Space,SFwheater,WHClearance
Mechanical_WaterHeater.csv,HPWH_Current_Mode,46,,Single Choice selection,HPWH Operating Mode,,,,
Mechanical_WaterHeater.csv,HPWH_Port_Present,47,,Single Choice selection,HPWH Communications Port present?,,,,
Mechanical_WaterHeater.csv,Indirect_Water_Heater_Fuel,48,,Single Choice selection,Fuel,Mechanical_WaterHeater.csv,Fuel Type,SFwheater,WHFuel
Mechanical_WellPump.csv,CK_SiteID,1,,ID,Site ID,,,,
Mechanical_WellPump.csv,PK_Mechanical_ID,2,,ID,Mechanical ID,,,,
Mechanical_WellPump.csv,Make,3,,text,Make,,,,
Mechanical_WellPump.csv,Model,4,,long_text,Model,,,,
Mechanical_WellPump.csv,Well_Pump_Missing_Model_Reason,5,,Single Choice selection,Reason why model number isn’t available?,,,,
Mechanical_WellPump.csv,Well_Pump_Missing_Model_Reason_Other,6,,long_text,Other SPECIFY:,,,,
Mechanical_WellPump.csv,Vintage,7,,integer,Year manufactured,,,,
Mechanical_WellPump.csv,Serial,8,,text,Serial Number,,,,
Mechanical_WellPump.csv,Wifi_Enabled,9,,Single Choice selection,Wi-fi capable,,,,
Mechanical_WellPump.csv,Well_Pump_Controlled_by_VSD,10,,Single Choice selection,Is well pump motor controlled by a VSD?,,,,
Mechanical_WellPump.csv,Motor_Input,11,Units provided in Units_of_Motor_Input,decimal,Motor Input,,,,
Mechanical_WellPump.csv,Units_of_Motor_Input,12,,Single Choice selection,Units of Motor Input,,,,
Mechanical_WholeHouseFan.csv,CK_SiteID,1,,ID,Site ID,Mechanical_WholeHouseFan.csv,CK_SiteID,SFventilation,siteid
Mechanical_WholeHouseFan.csv,PK_Mechanical_ID,2,,ID,Mechanical ID,Mechanical_WholeHouseFan.csv,PK_Mechanical_ID,SFventilation,vent_it
Mechanical_WholeHouseFan.csv,Ventilation_Controls,3,,Single Choice selection,Controls,Mechanical_WholeHouseFan.csv,Ventilation Controls,SFventilation,VentType
Mechanical_WholeHouseFan.csv,Ventilation_Use,4,Uses per week in summer,integer,Estimated Usage (number of times per week in the summer),Mechanical_WholeHouseFan.csv,Ventilation Use,SFventilation,VentControls
MF_Building_Ceiling.csv,Building_ID,1,,ID,Building ID,,,,
MF_Building_Ceiling.csv,Type_of_Ceiling,2,,Single Choice selection,Ceiling Type,,,,
MF_Building_Ceiling.csv,Type_of_Ceiling_Other,3,,text,Ceiling Type Other,,,,
MF_Building_Ceiling.csv,Data Collection Type,4,,Single Choice selection,"Whether the building was surveyed in full (with access to the entire facility) or via partial/remote survey (without access to central systems, roofs, etc.)",,,,
MF_Building_Construction.csv,Building_ID,1,,ID,Building ID,,,,
MF_Building_Construction.csv,Building_construction_type,2,,Single Choice selection,Building construction type,,,,
MF_Building_Construction.csv,Type_of_frame,3,,Single Choice selection,Type of frame,,,,
MF_Building_Construction.csv,Type_of_frame_Other,4,,text,Type of frame Other,,,,
MF_Building_Construction.csv,Foundation_type,5,,Single Choice selection,Foundation type,,,,
MF_Building_Construction.csv,Data Collection Type,6,,Single Choice selection,"Whether the building was surveyed in full (with access to the entire facility) or via partial/remote survey (without access to central systems, roofs, etc.)",,,,
MF_Building_HVAC.csv,Building_ID,1,,ID,Building ID,,,,
MF_Building_HVAC.csv,Common Areas Heated,2,,Single Choice selection,Are the common areas heated?,,,,
MF_Building_HVAC.csv,Common Areas Cooled,3,,Single Choice selection,Are the common areas cooled?,,,,
MF_Building_HVAC.csv,Tenant Units Have Heating Equipment,4,,Single Choice selection,Do the tenant units have heating equipment?,,,,
MF_Building_HVAC.csv,Tenant Units Cooled,5,,Single Choice selection,Are the tenant units cooled?,,,,
MF_Building_HVAC.csv,Tenant Units Have Cooling Equipment,6,,Single Choice selection,Do the tenant units have cooling equipment?,,,,
MF_Building_HVAC.csv,COMMON AHU/RTU Cooling,7,,Single Choice selection,Presence of COMMON AHU/RTU Cooling,,,,
MF_Building_HVAC.csv,COMMON AHU/RTU Heating,8,,Single Choice selection,Presence of COMMON AHU/RTU Heating,,,,
MF_Building_HVAC.csv,COMMON Boiler,9,,Single Choice selection,Presence of COMMON Boiler,,,,
MF_Building_HVAC.csv,COMMON Central AC,10,,Single Choice selection,Presence of COMMON Central AC,,,,
MF_Building_HVAC.csv,COMMON Central Air Source Heat Pump,11,,Single Choice selection,Presence of COMMON Central Air Source Heat Pump,,,,
MF_Building_HVAC.csv,COMMON Baseboard,12,,Single Choice selection,Presence of COMMON Baseboard,,,,
MF_Building_HVAC.csv,COMMON Fireplace or Stove,13,,Single Choice selection,Presence of COMMON Fireplace or Stove,,,,
MF_Building_HVAC.csv,COMMON Furnace,14,,Single Choice selection,Presence of COMMON Furnace,,,,
MF_Building_HVAC.csv,COMMON MAU,15,,Single Choice selection,Presence of COMMON MAU,,,,
MF_Building_HVAC.csv,COMMON Ductless Mini-split AC,16,,Single Choice selection,Presence of COMMON Ductless Mini-split AC,,,,
MF_Building_HVAC.csv,COMMON Ductless Mini-split Heat Pump,17,,Single Choice selection,Presence of COMMON Ductless Mini-split Heat Pump,,,,
MF_Building_HVAC.csv,"COMMON PTAC ""Packaged Terminal Air Conditioner""",18,,Single Choice selection,"Presence of COMMON PTAC ""Packaged Terminal Air Conditioner""",,,,
MF_Building_HVAC.csv,"COMMON PTHP ""Packaged Terminal Heat Pump""",19,,Single Choice selection,"Presence of COMMON PTHP ""Packaged Terminal Heat Pump""",,,,
MF_Building_HVAC.csv,COMMON Tower,20,,Single Choice selection,Presence of COMMON Tower,,,,
MF_Building_HVAC.csv,COMMON Unit Heater,21,,Single Choice selection,Presence of COMMON Unit Heater,,,,
MF_Building_HVAC.csv,COMMON Wall Heater,22,,Single Choice selection,Presence of COMMON Wall Heater,,,,
MF_Building_HVAC.csv,COMMON Water Source Heat Pump,23,,Single Choice selection,Presence of COMMON Water Source Heat Pump,,,,
MF_Building_HVAC.csv,COMMON Unknown Heating,24,,Single Choice selection,Presence of COMMON Unknown Heating,,,,
MF_Building_HVAC.csv,COMMON Unknown Cooling,25,,Single Choice selection,Presence of COMMON Unknown Cooling,,,,
MF_Building_HVAC.csv,TENANT AHU/RTU Cooling,26,,Single Choice selection,Presence of TENANT AHU/RTU Cooling,,,,
MF_Building_HVAC.csv,TENANT Boiler,27,,Single Choice selection,Presence of TENANT Boiler,,,,
MF_Building_HVAC.csv,TENANT Central AC,28,,Single Choice selection,Presence of TENANT Central AC,,,,
MF_Building_HVAC.csv,TENANT Central Air Source Heat Pump,29,,Single Choice selection,Presence of TENANT Central Air Source Heat Pump,,,,
MF_Building_HVAC.csv,TENANT Baseboard,30,,Single Choice selection,Presence of TENANT Baseboard,,,,
MF_Building_HVAC.csv,TENANT Fireplace or Stove,31,,Single Choice selection,Presence of TENANT Fireplace or Stove,,,,
MF_Building_HVAC.csv,TENANT Furnace,32,,Single Choice selection,Presence of TENANT Furnace,,,,
MF_Building_HVAC.csv,TENANT Ductless Mini-split Heat Pump,33,,Single Choice selection,Presence of TENANT Ductless Mini-split Heat Pump,,,,
MF_Building_HVAC.csv,"TENANT PTAC ""Packaged Terminal Air Conditioner""",34,,Single Choice selection,"Presence of TENANT PTAC ""Packaged Terminal Air Conditioner""",,,,
MF_Building_HVAC.csv,"TENANT PTHP ""Packaged Terminal Heat Pump""",35,,Single Choice selection,"Presence of TENANT PTHP ""Packaged Terminal Heat Pump""",,,,
MF_Building_HVAC.csv,TENANT Portable AC,36,,Single Choice selection,Presence of TENANT Portable AC,,,,
MF_Building_HVAC.csv,TENANT Portable Electric Heater,37,,Single Choice selection,Presence of TENANT Portable Electric Heater,,,,
MF_Building_HVAC.csv,TENANT Portable Fossil Fuel Heater,38,,Single Choice selection,Presence of TENANT Portable Fossil Fuel Heater,,,,
MF_Building_HVAC.csv,TENANT Portable Heat Pump,39,,Single Choice selection,Presence of TENANT Portable Heat Pump,,,,
MF_Building_HVAC.csv,TENANT Through-Wall AC,40,,Single Choice selection,Presence of TENANT Through-Wall AC,,,,
MF_Building_HVAC.csv,TENANT Through-Wall HP,41,,Single Choice selection,Presence of TENANT Through-Wall HP,,,,
MF_Building_HVAC.csv,TENANT Tower,42,,Single Choice selection,Presence of TENANT Tower,,,,
MF_Building_HVAC.csv,TENANT Unit Heater,43,,Single Choice selection,Presence of TENANT Unit Heater,,,,
MF_Building_HVAC.csv,TENANT Wall Heater,44,,Single Choice selection,Presence of TENANT Wall Heater,,,,
MF_Building_HVAC.csv,TENANT Water Source Heat Pump,45,,Single Choice selection,Presence of TENANT Water Source Heat Pump,,,,
MF_Building_HVAC.csv,TENANT Window AC,46,,Single Choice selection,Presence of TENANT Window AC,,,,
MF_Building_HVAC.csv,TENANT Unknown Heating,47,,Single Choice selection,Presence of TENANT Unknown Heating,,,,
MF_Building_HVAC.csv,TENANT Unknown Cooling,48,,Single Choice selection,Presence of TENANT Unknown Cooling,,,,
MF_Building_HVAC.csv,Tenant In-Unit HVAC Included,49,,Single Choice selection,Is data from the tenant unit survey included in the data in this table?,,,,
MF_Building_HVAC.csv,Heating Visable in Common Areas,50,,Single Choice selection,Is heating equipment visable in common areas?,,,,
MF_Building_HVAC.csv,Common and Tenant Heating Likely the Same,51,,Single Choice selection,Is common area and tenant heating likely the same?,,,,
MF_Building_HVAC.csv,Cooling Visable in Common Areas,52,,Single Choice selection,Is cooling equipment visable in common areas?,,,,
MF_Building_HVAC.csv,Common and Tenant Cooling Likely the Same,53,,Single Choice selection,Is common area and tenant cooling likely the same?,,,,
MF_Building_HVAC.csv,Common Space has Registers,54,,Single Choice selection,Does the common space have registers?,,,,
MF_Building_HVAC.csv,Common Space has Radiators,55,,Single Choice selection,Does the common space have radiators?,,,,
MF_Building_HVAC.csv,Common Space has Evidence of Natural Gas Service,56,,Single Choice selection,Does the common space have evidence of natural gas service?,,,,
MF_Building_HVAC.csv,Common Space Natural Gas Service Evidence,57,,long_text,What evidence of natural gas service is present in the common areas?,,,,
MF_Building_HVAC.csv,Common Space has Evidence of Radiant Floor Heating,58,,Single Choice selection,Does the common space have evidence of radiant floor heating?,,,,
MF_Building_HVAC.csv,Common HVAC Other Evidence,59,,long_text,Common area HVAC type evidence other,,,,
MF_Building_HVAC.csv,Tenant Space has Registers,60,,Single Choice selection,Do tenant units have registers?,,,,
MF_Building_HVAC.csv,Tenant Space has Radiators,61,,Single Choice selection,Do tenant units have radiators?,,,,
MF_Building_HVAC.csv,Tenant Space has Evidence of Natural Gas Service,62,,Single Choice selection,Do tenant units have evidence of natural gas service?,,,,
MF_Building_HVAC.csv,Tenant Space Natural Gas Service Evidence,63,,long_text,What evidence of natural gas service is present in the tenant units?,,,,
MF_Building_HVAC.csv,Tenant Space has Evidence of Radiant Floor Heating,64,,Single Choice selection,Do tenant units have evidence of radiant floor heating?,,,,
MF_Building_HVAC.csv,Tenant HVAC Other Evidence,65,,long_text,Tenant unit HVAC type evidence other,,,,
MF_Building_HVAC.csv,Remote Observation - Cooling Towers,66,,long_text,Remote evidence of cooling towers,,,,
MF_Building_HVAC.csv,Remote Observation - Split Units on Roof,67,,long_text,Remote evidence of split units on roof,,,,
MF_Building_HVAC.csv,Remote Observation - AHUs or RTUs,68,,long_text,Remote evidence of AHUs or RTUs,,,,
MF_Building_HVAC.csv,Remote Observation - Has Evidence of Natural Gas Service,69,,long_text,Remote evidence of natural gas service?,,,,
MF_Building_HVAC.csv,Remote Observation - Evidence of Natural Gas Service,70,,long_text,What remote evidence of natural gas service?,,,,
MF_Building_HVAC.csv,Remote Observation - Evidence of Radiant Floor,71,,long_text,Remote evidence of radiant floors,,,,
MF_Building_HVAC.csv,Remote Observation - Other Evidence,72,,long_text,Remote evidence other,,,,
MF_Building_HVAC.csv,Data Collection Type,73,,Single Choice selection,"Whether the building was surveyed in full (with access to the entire facility) or via partial/remote survey (without access to central systems, roofs, etc.)",,,,
MF_Building_Site_Detail.csv,Building_ID,1,,ID,Building ID,,,,
MF_Building_Site_Detail.csv,Building_Type,2,,Single Choice selection,Building Type,,,,
MF_Building_Site_Detail.csv,Building_Category,3,,Single Choice selection,Building Category,,,,
MF_Building_Site_Detail.csv,City,4,,text,Site City,,,,
MF_Building_Site_Detail.csv,County,5,,Single Choice selection,County,,,,
MF_Building_Site_Detail.csv,State,6,,Single Choice selection,State,,,,
MF_Building_Site_Detail.csv,BPA,7,,Single Choice selection,BPA utility flag,,,,
